school_code,county,pub-priv,district,city,school_name,enrollment,up-to-date-percentage,conditional-percentage,medical-exemption-percentage,belief-exemption-percentage,religious-belief_exemption_percentage
6019749,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,VERNON CITY ELEMENTARY,37,78,22,0,0,0
6019756,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,VICTORIA AVENUE ELEMENTARY,100,99,1,0,0,0
6019764,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HOLLYWOOD,VICTORY BOULEVARD ELEMENTARY,93,100,0,0,0,0
6117048,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,VIEW PARK PREPARATORY ACCELERATED CHARTER,,,,,,
129866,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,CANOGA PARK,VILLAGE CHARTER ACADEMY,67,91,7,0,1,1
6019772,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,VINE STREET ELEMENTARY,81,44,56,0,0,0
6019780,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SUN VALLEY,VINEDALE ELEMENTARY,28,75,25,0,0,0
6019798,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,NORTH HILLS,VINTAGE MATH SCIENCE TECHNOLOGY MAGNET,54,100,0,0,0,0
6019806,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,VIRGINIA ROAD ELEMENTARY,80,45,55,0,0,0
122200,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN FERNANDO,VISTA DEL VALLE DUAL LANGUAGE ACADEMY,96,98,2,0,0,0
6019814,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WADSWORTH AVENUE ELEMENTARY,151,99,1,0,0,0
6019822,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WALGROVE AVENUE ELEMENTARY,85,66,32,0,2,0
6110977,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,HUNTINGTON PARK,WALNUT PARK ELEMENTARY,140,96,4,0,1,1
6019830,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WARNER AVENUE ELEMENTARY,130,83,10,2,5,0
109306,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WASHINGTON PRIMARY CENTER,116,96,1,0,0,0
6114912,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WATTS LEARNING CENTER,71,100,0,0,0,0
6019848,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WEIGAND AVENUE ELEMENTARY,98,94,6,0,0,0
6019855,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HILLS,WELBY WAY ELEMENTARY CHARTER,67,99,0,0,1,0
6019863,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WEST ATHENS ELEMENTARY,166,80,20,0,0,0
6019871,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HOLLYWOOD,WEST HOLLYWOOD ELEMENTARY,66,76,23,0,2,2
6019889,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WEST VERNON AVENUE ELEMENTARY,140,96,4,0,0,0
6019905,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WESTERN AVENUE ELEMENTARY,128,73,27,0,0,0
6019913,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,VENICE,WESTMINSTER AVENUE ELEMENTARY,60,83,15,0,2,2
6019921,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WESTPORT HEIGHTS ELEMENTARY,79,76,22,0,3,1
1931054,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,MARINA DEL REY,WESTSIDE GLOBAL AWARENESS MAGNET,16,56,44,0,0,0
121012,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WESTSIDE INNOVATIVE SCHOOL HOUSE,88,97,0,0,3,0
6019939,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WESTWOOD CHARTER ELEMENTARY,169,72,24,1,4,1
6019947,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SAN PEDRO,WHITE POINT ELEMENTARY,66,94,2,2,3,0
6019954,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,TARZANA,WILBUR CHARTER FOR ENRICHED ACADEMICS,133,95,0,0,5,0
6017446,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WILLIAM R. ANTON ELEMENTARY,145,86,14,0,0,0
126409,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,WILLOW ELEMENTARY,99,100,0,0,0,0
6019962,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WILMINGTON,WILMINGTON PARK ELEMENTARY,158,99,1,0,1,1
6019970,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WILSHIRE CREST ELEMENTARY,40,43,53,0,5,3
112003,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WILSHIRE PARK ELEMENTARY,71,93,7,0,0,0
6019988,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WILTON PLACE ELEMENTARY,117,86,13,0,1,1
6019996,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WINDSOR HILLS MATH SCIENCE,60,18,82,0,0,0
6020002,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,CANOGA PARK,WINNETKA AVENUE ELEMENTARY,91,98,2,0,0,0
122150,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WISDOM ELEMENTARY,140,98,2,0,0,0
6020010,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WONDERLAND AVENUE ELEMENTARY,75,63,31,0,7,0
6020028,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,WOODCREST ELEMENTARY,175,59,41,0,0,0
6020036,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WOODLAND HILLS,WOODLAKE ELEMENTARY COMMUNITY CHARTER,94,98,1,0,1,0
6020044,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WOODLAND HILLS,WOODLAND HILLS ELEMENTARY CHARTER FOR ENRICHED STUDIES,146,97,1,0,2,0
6020051,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,BELL,WOODLAWN AVENUE ELEMENTARY,142,96,3,0,1,0
6017677,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,YES ACADEMY,118,70,28,0,2,2
6020069,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,YORKDALE ELEMENTARY,50,76,24,0,0,0
6020077,LOS ANGELES,PUBLIC,LOS NIETOS,WHITTIER,ADA S. NELSON ELEMENTARY,91,92,8,0,0,0
6020085,LOS ANGELES,PUBLIC,LOS NIETOS,WHITTIER,AEOLIAN ELEMENTARY,66,92,8,0,0,0
6020101,LOS ANGELES,PUBLIC,LOS NIETOS,SANTA FE SPRINGS,RANCHO SANTA GERTRUDES ELEMENTARY,52,94,6,0,0,0
6020127,LOS ANGELES,PUBLIC,LOWELL JOINT,LA HABRA,EL PORTAL ELEMENTARY,101,95,4,0,1,0
6020150,LOS ANGELES,PUBLIC,LOWELL JOINT,WHITTIER,JORDAN ELEMENTARY,52,92,4,0,4,0
6020176,LOS ANGELES,PUBLIC,LOWELL JOINT,LA HABRA,MACY ELEMENTARY,69,94,1,0,4,0
6020192,LOS ANGELES,PUBLIC,LOWELL JOINT,WHITTIER,MEADOW GREEN ELEMENTARY,89,90,6,0,4,0
6020200,LOS ANGELES,PUBLIC,LOWELL JOINT,LA HABRA,OLITA ELEMENTARY,66,94,0,0,6,0
107912,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,HELEN KELLER ELEMENTARY,100,94,6,0,0,0
6020234,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,JANIE P. ABBOTT ELEMENTARY,105,97,3,0,0,0
6020242,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,LINCOLN ELEMENTARY,92,78,21,0,1,1
6020259,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,LINDBERGH ELEMENTARY,112,89,11,0,0,0
6020267,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,LUGO ELEMENTARY,62,77,23,0,0,0
6020275,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,MARK TWAIN ELEMENTARY,107,94,6,0,0,0
6020283,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,ROOSEVELT ELEMENTARY,71,99,1,0,0,0
6116685,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,ROSA PARKS ELEMENTARY,76,97,3,0,0,0
108381,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,THURGOOD MARSHALL ELEMENTARY,144,100,0,0,0,0
6020291,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,WASHINGTON ELEMENTARY,99,96,4,0,0,0
6020309,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,WILL ROGERS ELEMENTARY,119,96,4,0,0,0
6020317,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,WILSON ELEMENTARY,84,87,13,0,0,0
6020325,LOS ANGELES,PUBLIC,MANHATTAN BEACH UNIFIED,MANHATTAN BEACH,AURELIA PENNEKAMP ELEMENTARY,90,93,0,3,3,3
6020358,LOS ANGELES,PUBLIC,MANHATTAN BEACH UNIFIED,MANHATTAN BEACH,GRAND VIEW ELEMENTARY,130,86,12,0,2,0
6020390,LOS ANGELES,PUBLIC,MANHATTAN BEACH UNIFIED,MANHATTAN BEACH,MEADOWS AVENUE ELEMENTARY,46,96,0,0,4,0
6020408,LOS ANGELES,PUBLIC,MANHATTAN BEACH UNIFIED,MANHATTAN BEACH,OPAL ROBINSON ELEMENTARY,60,90,5,0,5,0
6020416,LOS ANGELES,PUBLIC,MANHATTAN BEACH UNIFIED,MANHATTAN BEACH,PACIFIC ELEMENTARY,94,89,2,0,9,3
6020424,LOS ANGELES,PUBLIC,MONROVIA UNIFIED,MONROVIA,BRADOAKS ELEMENTARY,67,97,3,0,0,0
6020457,LOS ANGELES,PUBLIC,MONROVIA UNIFIED,MONROVIA,MAYFLOWER ELEMENTARY,74,93,0,1,5,0
6020465,LOS ANGELES,PUBLIC,MONROVIA UNIFIED,MONROVIA,MONROE ELEMENTARY,139,93,5,0,2,2
1996404,LOS ANGELES,PUBLIC,MONROVIA UNIFIED,MONROVIA,MOUNTAIN PARK,,,,,,
6020473,LOS ANGELES,PUBLIC,MONROVIA UNIFIED,MONROVIA,PLYMOUTH ELEMENTARY,74,93,5,0,1,1
6020499,LOS ANGELES,PUBLIC,MONROVIA UNIFIED,MONROVIA,WILD ROSE ELEMENTARY,71,97,3,0,0,0
6020507,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,CITY OF COMMERCE,BANDINI ELEMENTARY,109,100,0,0,0,0
6020515,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,BELL GARDENS,BELL GARDENS ELEMENTARY,196,98,0,1,1,1
6020523,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,MONTEREY PARK,BELLA VISTA ELEMENTARY,91,97,1,1,1,0
6020531,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,BELL GARDENS,CESAR E. CHAVEZ ELEMENTARY,176,98,2,0,1,0
6020556,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,MONTEBELLO,FREMONT ELEMENTARY,100,99,1,0,0,0
6020564,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,BELL GARDENS,GARFIELD ELEMENTARY,133,98,2,0,1,0
6020580,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,MONTEBELLO,GREENWOOD ELEMENTARY,215,100,0,0,0,0
6020549,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,LOS ANGELES,JOSEPH A. GASCON ELEMENTARY,167,99,0,0,1,0
6020598,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,MONTEBELLO,LA MERCED ELEMENTARY,147,95,4,0,1,0
6113799,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,CITY OF COMMERCE,LAGUNA NUEVA,,,,,,
6020614,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,PICO RIVERA,MONTEBELLO GARDENS ELEMENTARY,84,98,0,0,2,0
6020622,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,LOS ANGELES,MONTEBELLO PARK ELEMENTARY,124,99,0,0,1,0
6020630,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,SOUTH SAN GABRIEL,POTRERO HEIGHTS ELEMENTARY,76,97,0,0,3,0
6020648,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,CITY OF COMMERCE,ROSEWOOD PARK,101,91,0,0,9,1
6020655,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,BELL GARDENS,SUVA ELEMENTARY,188,99,0,1,0,0
6020663,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,MONTEBELLO,WASHINGTON ELEMENTARY,159,96,2,0,2,0
6020671,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,MONTEBELLO,WILCOX ELEMENTARY,134,95,4,0,1,0
6020689,LOS ANGELES,PUBLIC,MONTEBELLO UNIFIED,LOS ANGELES,WINTER GARDENS ELEMENTARY,110,100,0,0,0,0
6020697,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,BAKER ELEMENTARY,116,99,1,0,0,0
6020713,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,COGSWELL ELEMENTARY,88,100,0,0,0,0
6020739,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,JERRY VOORHIS ELEMENTARY,67,93,3,0,0,0
6020721,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,LA PRIMARIA ELEMENTARY,86,99,0,1,0,0
6020747,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,MAXSON ELEMENTARY,84,100,0,0,0,0
6020754,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,MIRAMONTE ELEMENTARY,72,100,0,0,0,0
6020762,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,MONTE VISTA ELEMENTARY,118,100,0,0,0,0
6020770,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,PARKVIEW ELEMENTARY,132,99,1,0,0,0
6105407,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,TWIN LAKES ELEMENTARY,70,99,1,0,0,0
6020788,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,WILLARD F. PAYNE ELEMENTARY,80,100,0,0,0,0
100644,LOS ANGELES,PUBLIC,NEWHALL,NEWHALL,DR. J. MICHAEL MCGRATH ELEMENTARY,111,98,1,0,1,0
6095442,LOS ANGELES,PUBLIC,NEWHALL,VALENCIA,MEADOWS ELEMENTARY,100,90,8,0,2,0
6020796,LOS ANGELES,PUBLIC,NEWHALL,NEWHALL,NEWHALL ELEMENTARY,115,99,1,0,0,0
108027,LOS ANGELES,PUBLIC,NEWHALL,VALENCIA,OAK HILLS ELEMENTARY,68,87,7,1,4,3
6066773,LOS ANGELES,PUBLIC,NEWHALL,VALENCIA,OLD ORCHARD ELEMENTARY,69,91,6,0,3,0
6020804,LOS ANGELES,PUBLIC,NEWHALL,NEWHALL,PEACHLAND AVENUE ELEMENTARY,77,96,4,0,0,0
100636,LOS ANGELES,PUBLIC,NEWHALL,STEVENSON RANCH,PICO CANYON ELEMENTARY,128,98,1,0,1,0
6113047,LOS ANGELES,PUBLIC,NEWHALL,STEVENSON RANCH,STEVENSON RANCH ELEMENTARY,97,81,13,0,5,0
6107171,LOS ANGELES,PUBLIC,NEWHALL,VALENCIA,VALENCIA VALLEY ELEMENTARY,93,95,5,0,0,0
6020812,LOS ANGELES,PUBLIC,NEWHALL,NEWHALL,WILEY CANYON ELEMENTARY,94,91,9,0,0,0
6020838,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,ANNA M. GLAZIER ELEMENTARY,103,100,0,0,0,0
6021091,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,ARTURO SANCHEZ ELEMENTARY,58,95,5,0,0,0
6020853,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,CESAR CHAVEZ ELEMENTARY,89,100,0,0,0,0
6020895,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,D. D. JOHNSTON ELEMENTARY,63,95,5,0,0,0
6020952,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,EARL E. EDMONDSON ELEMENTARY,99,100,0,0,0,0
6020903,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,EASTWOOD ELEMENTARY,75,96,0,0,4,1
6020929,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,ESCALONA ELEMENTARY,95,98,0,2,0,0
6020937,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,FOSTER ROAD ELEMENTARY,78,85,13,1,1,1
6020945,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,GARDENHILL ELEMENTARY,111,98,0,0,2,0
6020994,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,JOHN DOLLAND ELEMENTARY,96,100,0,0,0,0
6021000,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,JOHN FOSTER DULLES ELEMENTARY,33,91,6,0,3,0
6021018,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,JOHN H. NUFFER ELEMENTARY,62,98,0,0,2,0
6021026,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,JULIA B. MORRISON ELEMENTARY,151,95,5,0,0,0
6021034,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,LA PLUMA ELEMENTARY,102,93,4,0,3,2
6020911,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,LORETTA LAMPTON ELEMENTARY,110,89,11,0,0,0
6021083,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,NEW RIVER ELEMENTARY,65,95,5,0,0,0
6021133,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,THOMAS B. MOFFITT ELEMENTARY,86,87,12,0,1,1
6111538,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,BARREL SPRINGS ELEMENTARY,112,96,2,0,2,0
6108609,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,BUENA VISTA ELEMENTARY,111,98,1,0,1,0
6106900,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,CHAPARRAL ELEMENTARY,145,98,1,0,1,0
6113906,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,CIMARRON ELEMENTARY,138,97,1,0,2,0
6105621,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,DESERT ROSE ELEMENTARY,189,96,1,1,3,0
124156,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,DOS CAMINOS,110,100,0,0,0,0
6118749,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,GOLDEN POPPY ELEMENTARY,126,98,2,0,0,0
6119580,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,GUIDANCE CHARTER,43,93,2,0,5,5
6106793,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,JOSHUA HILLS ELEMENTARY,110,98,1,0,1,0
6119143,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,LOS AMIGOS,112,100,0,0,0,0
6021158,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,MANZANITA ELEMENTARY,121,100,0,0,0,0
6108625,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,MESQUITE ELEMENTARY,134,96,1,0,3,0
6021141,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,OCOTILLO ELEMENTARY,148,95,1,1,3,0
6107635,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,PALM TREE ELEMENTARY,127,97,2,0,1,0
6111546,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,PALMDALE LEARNING PLAZA,78,96,3,0,1,0
6115273,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,QUAIL VALLEY ELEMENTARY,108,96,3,0,1,0
6108633,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,SUMMERWIND ELEMENTARY,123,94,3,0,3,0
129973,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,TAMARISK,153,97,1,0,1,0
6021190,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,TUMBLEWEED ELEMENTARY,159,97,3,0,1,0
6021208,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,YUCCA ELEMENTARY,132,97,2,0,1,0
6021307,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,CORNERSTONE AT PEDREGAL ELEMENTARY,41,88,10,2,0,0
6116172,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,ROLLING HILLS ESTATES,DAPPLEGRAY ELEMENTARY,115,88,6,0,6,0
6021240,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,PALOS VERDES ESTATES,LUNADA BAY ELEMENTARY,63,92,8,0,0,0
6021273,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,MIRA CATALINA ELEMENTARY,84,86,12,0,2,0
6021299,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,PALOS VERDES ESTATES,MONTEMALAGA ELEMENTARY,87,97,3,0,0,0
6021315,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,POINT VICENTE ELEMENTARY,,,,,,
6021323,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,ROLLING HILLS ESTATES,RANCHO VISTA ELEMENTARY,81,73,17,0,10,2
6021349,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,SILVER SPUR ELEMENTARY,106,91,8,0,2,0
6021356,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,SOLEADO ELEMENTARY,89,91,7,0,2,0
6021372,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,VISTA GRANDE ELEMENTARY,83,73,24,0,2,2
6021430,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,ABRAHAM LINCOLN,93,98,2,0,0,0
6021380,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,LONG BEACH,CAPTAIN RAYMOND COLLINS,103,78,22,0,0,0
6021489,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,HARRY WIRTZ ELEMENTARY,105,92,7,0,1,1
6021414,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,SOUTH GATE,HOLLYDALE,107,88,11,0,1,1
108779,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,HOWARD TANNER,134,94,6,0,0,0
6117444,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,JEFFERSON ELEMENTARY,65,97,2,0,2,0
6021448,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,LOS CERRITOS,82,100,0,0,0,0
6021463,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,MAJOR LYNN MOKLER,101,70,30,0,0,0
6021455,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,MARK KEPPEL,98,94,5,0,1,1
6021471,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,THEODORE ROOSEVELT,84,99,1,0,0,0
6021398,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,WESLEY GAINES,102,98,1,0,1,1
6021505,LOS ANGELES,PUBLIC,PASADENA UNIFIED,ALTADENA,ALTADENA ELEMENTARY,43,100,0,0,0,0
113472,LOS ANGELES,PUBLIC,PASADENA UNIFIED,ALTADENA,AVESON SCHOOL OF LEADERS,107,86,9,0,5,5
117440,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,CIS ACADEMY,,,,,,
6021547,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,CLEVELAND ELEMENTARY,31,97,3,0,0,0
6021760,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,DANIEL WEBSTER,78,100,0,0,0,0
6021554,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,DON BENITO FUNDAMENTAL,94,99,0,0,1,0
6021570,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,FIELD -EUGENE- ELEMENTARY,85,56,44,0,0,0
6021588,LOS ANGELES,PUBLIC,PASADENA UNIFIED,ALTADENA,FRANKLIN ELEMENTARY,47,100,0,0,0,0
6021612,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,HAMILTON ELEMENTARY,103,97,1,0,2,0
6021620,LOS ANGELES,PUBLIC,PASADENA UNIFIED,ALTADENA,JACKSON ELEMENTARY,118,87,8,1,3,3
6021638,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,JEFFERSON ELEMENTARY,86,92,8,0,0,0
6021679,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,LONGFELLOW -HENRY W.- ELEMENTARY,111,99,1,0,0,0
6021687,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,MADISON ELEMENTARY,111,96,2,0,3,0
6120265,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,MCKINLEY,117,99,0,0,1,0
1932409,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,NORMA COOMBS ALTERNATIVE,95,95,2,0,3,0
113894,LOS ANGELES,PUBLIC,PASADENA UNIFIED,ALTADENA,PASADENA ROSEBUD ACADEMY,,,,,,
6021711,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,ROOSEVELT,66,98,2,0,0,0
6021729,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,SAN RAFAEL ELEMENTARY,78,99,0,0,1,0
6021737,LOS ANGELES,PUBLIC,PASADENA UNIFIED,SIERRA MADRE,SIERRA MADRE ELEMENTARY,86,91,0,1,8,0
