"2015-16 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schools with 10 or more students enrolled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL CODE,COUNTY,PUB/  PRIV,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UP-TO-DATE†,,CONDI- TIONAL*,,PME**,,PBE§ ,,HCP-COUNSELED PBE§§ ,,RELIGIOUS PBE§§§ ,,OVER-DUE §§§§,,DTP††  ^,,POLIO¥ ^,,MMR‡  ^,,HEPB§ ^,,VAR¶ ^,,REPORTED¶¶
6090252,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JEFFERSON ELEMENTARY,96,88,92,4,4,0,0,4,4,3,3,1,1,0,0,88,92,90,94,88,92,91,95,92,96,Y
6105316,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JOHN MUIR ELEMENTARY,55,33,60,20,36,0,0,2,4,2,4,0,0,0,0,42,76,44,80,44,80,46,84,52,95,Y
6090278,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,LECONTE ELEMENTARY,76,68,89,7,9,0,0,1,1,0,0,1,1,0,0,69,91,74,97,71,93,72,95,74,97,Y
6090286,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,MALCOLM X ELEMENTARY,119,96,81,19,16,0,0,4,3,3,3,1,1,0,0,100,84,102,86,105,88,104,87,109,92,Y
6090302,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,OXFORD ELEMENTARY,59,56,95,3,5,0,0,0,0,0,0,0,0,0,0,56,95,57,97,58,98,57,97,58,98,Y
6090187,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,95,90,95,0,0,0,0,4,4,4,4,0,0,1,1,90,95,90,95,90,95,90,95,90,95,Y
6090310,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,THOUSAND OAKS ELEMENTARY,70,59,84,5,7,3,4,3,4,2,3,1,1,0,0,59,84,61,87,59,84,61,87,61,87,Y
6090328,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,WASHINGTON ELEMENTARY,91,61,67,27,30,3,3,0,0,0,0,0,0,0,0,71,78,68,75,73,80,78,86,83,91,Y
0131763,ALAMEDA,PUBLIC,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT -STATE SPECIAL SCHL-,FREMONT,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT,12,12,100,0,0,0,0,0,0,0,0,0,0,0,0,12,100,12,100,12,100,12,100,12,100,Y
6090351,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CASTRO VALLEY ELEMENTARY,99,95,96,0,0,0,0,0,0,0,0,0,0,4,4,95,96,95,96,95,96,95,96,95,96,Y
6090369,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CHABOT ELEMENTARY,76,74,97,0,0,0,0,0,0,0,0,0,0,2,3,74,97,74,97,74,97,74,97,74,97,Y
6090393,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,INDEPENDENT ELEMENTARY,120,114,95,0,0,0,0,1,1,1,1,0,0,5,4,114,95,114,95,114,95,114,95,114,95,Y
6113005,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,JENSEN RANCH ELEMENTARY,59,52,88,0,0,0,0,0,0,0,0,0,0,7,12,52,88,52,88,52,88,52,88,52,88,Y
6090401,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,MARSHALL ELEMENTARY,70,69,99,0,0,0,0,0,0,0,0,0,0,1,1,69,99,69,99,69,99,69,99,69,99,Y
6090419,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PALOMARES ELEMENTARY,20,20,100,0,0,0,0,0,0,0,0,0,0,0,0,20,100,20,100,20,100,20,100,20,100,Y
6090435,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PROCTOR ELEMENTARY,78,71,91,0,0,0,0,2,3,2,3,0,0,5,6,71,91,71,91,71,91,71,91,71,91,Y
6090468,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,STANTON ELEMENTARY,106,105,99,0,0,1,1,0,0,0,0,0,0,0,0,105,99,105,99,105,99,105,99,105,99,Y
6090484,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,VANNOY ELEMENTARY,62,57,92,0,0,1,2,1,2,1,2,0,0,3,5,57,92,57,92,57,92,57,92,57,92,Y
6001374,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,DUBLIN ELEMENTARY,161,155,96,0,0,0,0,6,4,5,3,1,1,0,0,155,96,155,96,155,96,155,96,155,96,Y
6001390,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,FREDERIKSEN ELEMENTARY,166,164,99,0,0,0,0,2,1,2,1,0,0,0,0,164,99,164,99,164,99,164,99,164,99,Y
0123935,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,HAROLD WILLIAM KOLB,151,150,99,0,0,0,0,1,1,1,1,0,0,0,0,150,99,150,99,150,99,150,99,150,99,Y
0131615,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,J. M. AMADOR ELEMENTARY,179,177,99,0,0,0,0,2,1,1,1,1,1,0,0,177,99,177,99,177,99,177,99,177,99,Y
6118038,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JAMES DOUGHERTY ELEMENTARY,173,169,98,0,0,1,1,3,2,3,2,0,0,0,0,169,98,169,98,169,98,169,98,169,98,Y
0114579,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JOHN GREEN ELEMENTARY,123,121,98,1,1,0,0,1,1,1,1,0,0,0,0,122,99,121,98,122,99,122,99,122,99,Y
6001424,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,MURRAY ELEMENTARY,114,109,96,0,0,2,2,3,3,2,2,1,1,0,0,109,96,109,96,109,96,109,96,109,96,Y
